1,Start,OFF,0,0,0,0,0,0,0,0
2,OFF,OFF,0,0,0,1,0,0,0,0
3,OFF,OFF,1,0,0,0,0,0,0,0
4,OFF,U,0,0,1,0,1,0,0,1
5,OFF,L,0,1,0,0,1,0,1,0
6,U,OFF,0,0,1,0,0,0,0,0
7,U,U,1,0,0,0,1,0,0,1
8,U,U,0,1,0,0,1,0,0,1
9,U,X5,0,0,0,1,1,0,0,2
10,X5,X5,0,1,0,0,1,0,0,2
11,X5,X5,0,0,1,0,1,0,0,2
12,X5,N,1,0,0,0,1,1,0,2
13,X5,X10,0,0,0,1,1,0,0,3
14,N,N,0,1,0,0,1,1,0,2
15,N,N,0,0,1,0,1,1,0,2
16,N,N,0,0,0,1,1,1,0,2
17,N,X5,1,0,0,0,1,0,0,2
18,X10,X10,1,0,0,0,1,0,0,3
19,X10,X10,0,1,0,0,1,0,0,3
20,X10,X10,0,0,1,0,1,0,0,3
21,X10,U,0,0,0,1,1,0,0,1
22,L,L,1,0,0,0,1,0,1,0
23,L,L,0,1,0,0,1,0,1,0
24,L,L,0,0,0,1,1,0,1,0
25,L,OFF,0,0,1,0,0,0,0,0
